Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_ovr,map,training_time,confusion_matrix
20260129_213827,Fusion_FFTs_STFTs,Scaled,KNN,0.765,0.7649867820858387,0.9339333333333332,0.8303059930065286,0.0042290687561035,fusion_ffts_stfts_scaled_knn_20260129_213827.joblib,0.7780185736765202,0.7649999999999999,0.7649867820858387,0.7780185736765202,0.765,0.7649867820858387,0.9339333333333333,0.8303059930065286,0.004229068756103516,"[[43, 4, 2, 1], [7, 32, 10, 1], [4, 3, 41, 2], [2, 2, 9, 37]]"
20260129_213827,Fusion_FFTs_STFTs,Scaled,RF,0.765,0.7614567249474906,0.9365166666666668,0.8500359766962107,1.611616134643555,fusion_ffts_stfts_scaled_rf_20260129_213827.joblib,0.7910119378385632,0.765,0.7614567249474906,0.7910119378385632,0.765,0.7614567249474906,0.9365166666666667,0.8500359766962107,1.6116161346435547,"[[46, 2, 2, 0], [12, 31, 5, 2], [2, 4, 44, 0], [3, 1, 14, 32]]"
20260129_212200,FFTs,Scaled,KNN,0.765,0.7649867820858387,0.9339333333333332,0.8303059930065286,0.0023486614227294,ffts_scaled_knn_20260129_212200.joblib,0.7780185736765202,0.7649999999999999,0.7649867820858387,0.7780185736765202,0.765,0.7649867820858387,0.9339333333333333,0.8303059930065286,0.002348661422729492,"[[43, 4, 2, 1], [7, 32, 10, 1], [4, 3, 41, 2], [2, 2, 9, 37]]"
20260129_215029,Fusion_FFTs_MFCCs_STFT,Raw,ET,0.765,0.7624733463701348,0.9449,0.8617581930056384,2.879316568374634,fusion_ffts_mfccs_stft_raw_et_20260129_215029.joblib,0.77787514209928,0.7649999999999999,0.7624733463701348,0.7778751420992801,0.765,0.7624733463701346,0.9449,0.8617581930056384,2.879316568374634,"[[45, 4, 1, 0], [13, 30, 5, 2], [2, 5, 42, 1], [3, 1, 10, 36]]"
20260129_215234,Fusion_FFTs_MFCC_STFT,Scaled,ET,0.75,0.7508877658816767,0.9492333333333334,0.8713826252995729,2.490450620651245,fusion_ffts_mfcc_stft_scaled_et_20260129_215234.joblib,0.7696428571428571,0.75,0.7508877658816767,0.7696428571428571,0.75,0.7508877658816766,0.9492333333333334,0.8713826252995729,2.490450620651245,"[[42, 6, 2, 0], [10, 33, 7, 0], [2, 5, 41, 2], [2, 1, 13, 34]]"
20260129_215234,Fusion_FFTs_MFCC_STFT,Raw,ET,0.75,0.7508877658816767,0.9493333333333334,0.8713207315581447,1.911447525024414,fusion_ffts_mfcc_stft_raw_et_20260129_215234.joblib,0.7696428571428571,0.75,0.7508877658816767,0.7696428571428571,0.75,0.7508877658816766,0.9493333333333334,0.8713207315581447,1.911447525024414,"[[42, 6, 2, 0], [10, 33, 7, 0], [2, 5, 41, 2], [2, 1, 13, 34]]"
20260129_212200,FFTs,Raw,RF,0.75,0.7496342737722048,0.9382666666666668,0.8389309636456194,1.114145278930664,ffts_raw_rf_20260129_212200.joblib,0.7667190446260214,0.75,0.7496342737722048,0.7667190446260213,0.75,0.7496342737722048,0.9382666666666667,0.8389309636456194,1.114145278930664,"[[42, 7, 1, 0], [12, 31, 6, 1], [4, 3, 42, 1], [2, 2, 11, 35]]"
20260129_212200,FFTs,Scaled,RF,0.735,0.7346651938046035,0.9375333333333332,0.8368402991904017,1.178258180618286,ffts_scaled_rf_20260129_212200.joblib,0.7505961869107334,0.7349999999999999,0.7346651938046035,0.7505961869107334,0.735,0.7346651938046036,0.9375333333333333,0.8368402991904017,1.1782581806182861,"[[41, 7, 2, 0], [13, 30, 6, 1], [4, 3, 41, 2], [1, 2, 12, 35]]"
20260129_212200,FFTs,Raw,ET,0.73,0.7307591216981948,0.9313333333333332,0.8300580000740475,0.4350621700286865,ffts_raw_et_20260129_212200.joblib,0.747047162369743,0.73,0.7307591216981948,0.7470471623697429,0.73,0.7307591216981948,0.9313333333333333,0.8300580000740475,0.4350621700286865,"[[40, 8, 2, 0], [12, 30, 8, 0], [1, 6, 41, 2], [3, 1, 11, 35]]"
20260129_214850,Fusion_PCA(FFTs+MFCCs+STFT),Individual_PCA,ET,0.725,0.7223837033834037,0.91765,0.814865589682501,0.3413741588592529,fusion_ffts_mfccs_stft_pca_et_20260129_214850.joblib,0.7309786980780139,0.7250000000000001,0.7223837033834037,0.7309786980780139,0.725,0.7223837033834037,0.9176500000000001,0.814865589682501,0.34137415885925293,"[[43, 5, 1, 1], [16, 29, 3, 2], [2, 5, 38, 5], [3, 2, 10, 35]]"
