Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File
20260129_213401,STFTs,Scaled,RF,0.69,0.6910354669788632,0.9055166666666666,0.7873321752294733,1.132434606552124,stfts_scaled_rf_20260129_213401.joblib
20260129_214220,MFCCs,Raw,KNN,0.69,0.6897334648951274,0.8805499999999999,0.7107243006354146,0.001955509185791,mfccs_raw_knn_20260129_214220.joblib
20260129_214220,MFCCs,Raw,ET,0.685,0.6861422880873682,0.89385,0.7664629366776347,0.2711036205291748,mfccs_raw_et_20260129_214220.joblib
20260129_212631,STFT,Scaled,SVM,0.685,0.685080690100974,0.9119666666666668,0.7975095642465526,8.082324028015137,stft_scaled_svm_20260129_212631.joblib
20260129_214220,MFCCs,Scaled,ET,0.685,0.6861422880873682,0.89385,0.7664629366776347,0.2501060962677002,mfccs_scaled_et_20260129_214220.joblib
20260129_212358,MFCC_Default,Raw,ET,0.67,0.6713325655714797,0.89165,0.7483090416981362,0.2667453289031982,mfcc_default_raw_et_20260129_212358.joblib
20260129_212358,MFCC_Default,Scaled,ET,0.67,0.6713325655714797,0.89165,0.7483090416981362,0.2623059749603271,mfcc_default_scaled_et_20260129_212358.joblib
20260129_212948,Fusion_FFT_STFT,Raw,KNN,0.67,0.6705104067874449,0.8723666666666666,0.6984140868005032,0.0061268806457519,fusion_fft_stft_raw_knn_20260129_212948.joblib
20260129_214220,MFCCs,Scaled,SVM,0.665,0.66850856526351,0.9127666666666666,0.7946667702621069,1.399065017700195,mfccs_scaled_svm_20260129_214220.joblib
20260129_214355,Fusion_FFT_MFCC,Raw,KNN,0.66,0.6595477167376915,0.8518333333333333,0.6477048501587066,0.0045795440673828,fusion_fft_mfcc_raw_knn_20260129_214355.joblib
20260129_215234,Fusion_FFTs_MFCC_STFT,Raw,KNN,0.66,0.6599963973128191,0.8828499999999999,0.7437497952109628,0.0039584636688232,fusion_ffts_mfcc_stft_raw_knn_20260129_215234.joblib
20260129_214220,MFCCs,Raw,RF,0.655,0.6563848188848189,0.8828833333333335,0.7477276434357498,0.2410194873809814,mfccs_raw_rf_20260129_214220.joblib
20260129_214220,MFCCs,Scaled,RF,0.655,0.6563848188848189,0.8828833333333335,0.7477276434357498,0.2045726776123047,mfccs_scaled_rf_20260129_214220.joblib
20260129_212358,MFCC_Default,Raw,RF,0.65,0.6520566915641289,0.8859666666666667,0.7401362199050593,0.1836929321289062,mfcc_default_raw_rf_20260129_212358.joblib
20260129_212358,MFCC_Default,Scaled,RF,0.65,0.6520566915641289,0.8859666666666667,0.7401362199050593,0.1848566532135009,mfcc_default_scaled_rf_20260129_212358.joblib
20260129_213827,Fusion_FFTs_STFTs,Scaled,SVM,0.645,0.6431602236878495,0.9050666666666668,0.7628832065047907,64.3643171787262,fusion_ffts_stfts_scaled_svm_20260129_213827.joblib
